Thread ID: 2151950420
Fiber ID: 2156166000
Total: 0.244291
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00      0.000     0.000     0.000     0.000        1   HTTPClient#keep_webmock_compat 
  0.00      0.000     0.000     0.000     0.000        1   IO#sync= 
  0.00      0.000     0.000     0.000     0.000        1   HTTPClient::BasicAuth#reset_challenge 
  0.00      0.000     0.000     0.000     0.000        1   HTTPClient::SSPINegotiateAuth#reset_challenge 
  0.00      0.000     0.000     0.000     0.000        1   Array#clear 
  0.00      0.000     0.000     0.000     0.000        1   HTTPClient#debug_dev 
  0.00      0.000     0.000     0.000     0.000        2   Fixnum#| 
  0.00      0.000     0.000     0.000     0.000        1   HTTPClient#proxy 

* indicates recursively called methods
Thread ID: 2156160100
Fiber ID: 2156159980
Total: 0.241635
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.25      0.001     0.001     0.000     0.000        1   Kernel#sleep 
  0.02      0.242     0.000     0.241     0.001        1   Timeout#timeout 

* indicates recursively called methods
Thread ID: 2156159780
Fiber ID: 2156173880
Total: 0.239949
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.03      0.240     0.000     0.240     0.000        1   Timeout#timeout 
  0.01      0.000     0.000     0.000     0.000        1   Kernel#sleep 

* indicates recursively called methods
Thread ID: 2156173720
Fiber ID: 2156173640
Total: 0.239586
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.06      0.002     0.000     0.002     0.000        1   Kernel#sleep 
  0.02      0.240     0.000     0.238     0.002        1   Timeout#timeout 

* indicates recursively called methods
Thread ID: 2156179860
